Athlete,Country,Year,Sport,Gold,Silver,Bronze,Total
Yang Yilin,China,2008,Gymnastics,1,0,2,3
Leisel Jones,Australia,2000,Swimming,0,2,0,2
Go Gi-Hyeon,South Korea,2002,Short-Track Speed Skating,1,1,0,2
Chen Ruolin,China,2008,Diving,2,0,0,2
Katie Ledecky,United States,2012,Swimming,1,0,0,1
Ruta Meilutyte,Lithuania,2012,Swimming,1,0,0,1
Dániel Gyurta,Hungary,2004,Swimming,0,1,0,1
Arianna Fontana,Italy,2006,Short-Track Speed Skating,0,0,1,1
Olga Glatskikh,Russia,2004,Rhythmic Gymnastics,1,0,0,1
Kharikleia Pantazi,Greece,2000,Rhythmic Gymnastics,0,0,1,1
Kim Martin,Sweden,2002,Ice Hockey,0,0,1,1
Kyla Ross,United States,2012,Gymnastics,1,0,0,1
Gabriela Dragoi,Romania,2008,Gymnastics,0,0,1,1
Tasha Schwikert-Warren,United States,2000,Gymnastics,0,0,1,1
Yang Yun,China,2000,Gymnastics,0,0,1,1
Sophie Lamon,Switzerland,2000,Fencing,0,1,0,1
Alejandra Orozco,Mexico,2012,Diving,0,1,0,1
Yuliya Koltunova,Russia,2004,Diving,0,1,0,1
Shawn Johnson,United States,2008,Gymnastics,1,3,0,4
Carly Patterson,United States,2004,Gymnastics,1,2,0,3
Catalina Ponor,Romania,2004,Gymnastics,3,0,0,3
Ye Shiwen,China,2012,Swimming,2,0,0,2
Cate Campbell,Australia,2008,Swimming,0,0,2,2
Diana Mocanu,Romania,2000,Swimming,2,0,0,2
Megan Quann-Jendrick,United States,2000,Swimming,2,0,0,2
Gabby Douglas,United States,2012,Gymnastics,2,0,0,2
McKayla Maroney,United States,2012,Gymnastics,1,1,0,2
He Kexin,China,2008,Gymnastics,2,0,0,2
Anna Pavlova,Russia,2004,Gymnastics,0,0,2,2
Dana Sofronie,Romania,2004,Gymnastics,1,1,0,2
Andreea Raducan,Romania,2000,Gymnastics,1,1,0,2
Wang Xin,China,2008,Diving,1,0,1,2
Lao Lishi,China,2004,Diving,1,1,0,2
Li Na,China,2000,Diving,1,1,0,2
